2010-05-20 12:48:20 Notice: Notice (8): Undefined property: PostsController::$UserMst in [/var/www/staple/app/app_controller.php, line 70]
2010-05-31 19:12:04 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 28]
2010-05-31 19:12:04 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 29]
2010-05-31 19:12:04 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 31]
2010-05-31 19:12:04 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 32]
2010-05-31 19:12:04 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 33]
2010-05-31 19:12:18 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 23]
2010-05-31 19:12:18 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 24]
2010-05-31 19:12:18 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 25]
2010-05-31 19:12:18 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 26]
2010-05-31 19:12:18 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 27]
2010-05-31 19:12:18 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 28]
2010-05-31 19:12:18 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 29]
2010-05-31 19:12:18 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 31]
2010-05-31 19:12:18 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 32]
2010-05-31 19:12:18 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 33]
2010-05-31 19:14:22 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 23]
2010-05-31 19:14:22 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 24]
2010-05-31 19:14:22 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 25]
2010-05-31 19:14:22 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 26]
2010-05-31 19:14:22 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 27]
2010-05-31 19:14:22 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 28]
2010-05-31 19:14:22 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 29]
2010-05-31 19:14:22 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 31]
2010-05-31 19:14:22 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 32]
2010-05-31 19:14:22 Notice: Notice (8): Undefined index:  Record in [/var/www/household/app/views/records/index.ctp, line 33]
2010-05-31 19:14:56 Notice: Notice (8): Undefined property: Record::$Category in [/var/www/household/app/controllers/records_controller.php, line 57]
2010-05-31 22:19:20 Notice: Notice (8): Undefined offset:  2 in [/var/www/household/app/views/graph/index.ctp, line 20]
2010-05-31 22:19:20 Notice: Notice (8): Undefined offset:  3 in [/var/www/household/app/views/graph/index.ctp, line 20]
2010-05-31 22:19:20 Notice: Notice (8): Undefined offset:  4 in [/var/www/household/app/views/graph/index.ctp, line 20]
2010-05-31 22:19:20 Notice: Notice (8): Undefined offset:  5 in [/var/www/household/app/views/graph/index.ctp, line 20]
2010-05-31 22:20:13 Notice: Notice (8): Array to string conversion in [/var/www/household/app/views/graph/index.ctp, line 27]
2010-05-31 22:20:30 Notice: Notice (8): Array to string conversion in [/var/www/household/app/views/graph/index.ctp, line 27]
2010-05-31 22:20:42 Notice: Notice (8): Array to string conversion in [/var/www/household/app/views/graph/index.ctp, line 27]
2010-05-31 22:20:58 Notice: Notice (8): Array to string conversion in [/var/www/household/app/views/graph/index.ctp, line 27]
2010-05-31 22:21:29 Notice: Notice (8): Array to string conversion in [/var/www/household/app/views/graph/index.ctp, line 29]
2010-05-31 22:21:48 Notice: Notice (8): Array to string conversion in [/var/www/household/app/views/graph/index.ctp, line 29]
2010-05-31 22:22:59 Notice: Notice (8): Undefined offset:  2 in [/usr/share/php/cake/libs/model/model.php, line 2185]
2010-05-31 22:22:59 Notice: Notice (8): Undefined offset:  2 in [/usr/share/php/cake/libs/model/model.php, line 2186]
2010-05-31 22:22:59 Notice: Notice (8): Array to string conversion in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 1987]
2010-05-31 22:22:59 Notice: Notice (8): Array to string conversion in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 1991]
2010-05-31 22:22:59 Notice: Notice (8): Array to string conversion in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 1995]
2010-05-31 22:22:59 Notice: Notice (8): Array to string conversion in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 1996]
2010-05-31 22:30:20 Notice: Notice (8): Array to string conversion in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 1987]
2010-05-31 22:30:20 Notice: Notice (8): Array to string conversion in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 1991]
2010-05-31 22:30:20 Notice: Notice (8): Array to string conversion in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 1995]
2010-05-31 22:30:20 Notice: Notice (8): Array to string conversion in [/usr/share/php/cake/libs/model/datasources/dbo_source.php, line 1996]
2010-05-31 22:34:36 Notice: Notice (8): Array to string conversion in [/var/www/household/app/views/graph/index.ctp, line 29]
2010-05-31 22:44:00 Notice: Notice (8): Array to string conversion in [/var/www/household/app/views/graph/index.ctp, line 29]
2010-05-31 22:44:19 Notice: Notice (8): Array to string conversion in [/var/www/household/app/views/graph/index.ctp, line 29]
2010-05-31 23:06:42 Notice: Notice (8): Undefined variable: category_id in [/var/www/household/app/views/graph/index.ctp, line 20]
2010-07-01 16:04:11 Notice: Notice (8): Undefined variable: keywords in [/var/www/household/app/views/layouts/default.ctp, line 9]
2010-07-01 16:04:11 Notice: Notice (8): Undefined variable: description in [/var/www/household/app/views/layouts/default.ctp, line 10]
2010-07-01 16:04:11 Notice: Notice (8): Undefined variable: keywords in [/var/www/household/app/views/layouts/default.ctp, line 9]
2010-07-01 16:04:11 Notice: Notice (8): Undefined variable: description in [/var/www/household/app/views/layouts/default.ctp, line 10]
2010-07-01 16:41:47 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:41:47 Notice: Notice (8): Undefined variable: keywords in [/var/www/household/app/views/layouts/default.ctp, line 9]
2010-07-01 16:41:47 Notice: Notice (8): Undefined variable: description in [/var/www/household/app/views/layouts/default.ctp, line 10]
2010-07-01 16:41:47 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:41:47 Notice: Notice (8): Undefined variable: keywords in [/var/www/household/app/views/layouts/default.ctp, line 9]
2010-07-01 16:41:47 Notice: Notice (8): Undefined variable: description in [/var/www/household/app/views/layouts/default.ctp, line 10]
2010-07-01 16:42:29 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:42:29 Notice: Notice (8): Undefined variable: keywords in [/var/www/household/app/views/layouts/default.ctp, line 9]
2010-07-01 16:42:29 Notice: Notice (8): Undefined variable: description in [/var/www/household/app/views/layouts/default.ctp, line 10]
2010-07-01 16:42:29 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:42:29 Notice: Notice (8): Undefined variable: keywords in [/var/www/household/app/views/layouts/default.ctp, line 9]
2010-07-01 16:42:29 Notice: Notice (8): Undefined variable: description in [/var/www/household/app/views/layouts/default.ctp, line 10]
2010-07-01 16:44:46 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:44:46 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:45:39 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:45:39 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:45:41 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:45:41 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:45:46 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:46:45 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:47:06 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:47:56 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/core.php, line 299]
2010-07-01 16:47:57 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/core.php, line 299]
2010-07-01 16:48:15 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/core.php, line 299]
2010-07-01 16:48:26 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/core.php, line 299]
2010-07-01 16:48:35 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/core.php, line 299]
2010-07-01 16:48:48 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 14]
2010-07-01 16:49:32 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:49:56 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:49:56 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:50:05 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:50:05 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:50:34 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:50:34 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:50:38 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:50:39 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:50:52 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:50:55 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:50:55 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:51:00 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:51:00 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:52:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:52:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:52:49 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2010-07-01 16:52:50 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:12 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:13 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:23 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:23 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:27 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:27 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:29 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:29 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:31 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-01-12 14:57:32 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:08:33 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:08:34 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:09:05 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:09:06 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:11:00 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:11:00 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:11:06 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:11:07 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:12:38 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:12:38 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:12:39 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:12:39 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:13:12 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:13:12 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:22:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:22:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:22:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:22:30 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:22:31 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:22:31 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:22:31 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:22:31 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:24:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:24:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:25:52 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:25:53 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:26:01 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:26:02 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:26:26 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:26:26 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:27:10 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:27:10 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:35:13 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:35:13 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:35:20 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:35:20 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:35:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:35:27 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:39:22 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:39:22 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:39:40 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:39:40 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:40:07 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:40:07 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:40:18 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:40:19 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:40:26 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:40:26 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:40:30 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:40:30 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:40:52 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:40:52 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:41:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:41:25 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:41:32 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:41:32 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:41:42 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:41:42 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:41:48 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:41:48 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:44:21 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:44:21 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:44:27 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:44:28 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:44:44 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:44:55 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:45:05 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:45:30 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:46:57 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:57:31 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:57:41 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:57:42 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:57:51 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:58:01 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 19:58:13 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 20:02:16 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 20:02:18 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 20:52:17 Notice: Notice (8): Constant LOG_ERROR already defined in [/var/www/household/app/config/const.php, line 16]
2012-04-15 20:52:17 Notice: Notice (8): Constant DB_HOST already defined in [/var/www/household/app/config/database.php, line 2]
2012-04-15 20:52:17 Notice: Notice (8): Constant DB_LOGIN already defined in [/var/www/household/app/config/database.php, line 3]
2012-04-15 20:52:17 Notice: Notice (8): Constant DB_PASSWORD already defined in [/var/www/household/app/config/database.php, line 4]
2012-04-15 20:52:17 Notice: Notice (8): Constant DB_NAME already defined in [/var/www/household/app/config/database.php, line 5]
2012-04-15 20:52:17 Notice: Notice (8): Constant VIEW_CACHE_TIME already defined in [/var/www/household/app/config/database.php, line 6]
